Name,Sex,Country,Date of Birth
"Facey, Simone",Women,Jamaica,07-May-85
"Fajdek, Paweł",Men,Poland,04-Jun-89
"Falloni, Simone",Men,Italy,26-Jul-91
"Farah, Mohamed",Men,Great Britain & N.I.,23-Mar-83
"Farmer, Erin",Women,United States,11-Aug-95
"Fassinotti, Marco",Men,Italy,29-Apr-89
"Feleke, Getu",Men,Ethiopia,28-Nov-86
"Felix, Allyson",Women,United States,18-Nov-85
"Felix, Kurt",Men,Grenada,04-Jul-88
"Feng, Bin",Women,Pr Of China,03-Apr-94
"Ferreira, Diogo",Men,Portugal,30-Jul-90
"Ferreira, Fernando",Men,Brazil,13-Dec-94
"Fifa, Illias",Men,Spain,16-May-89
"Filippidis, Konstantinos",Men,Greece,26-Nov-86
"Finley, Mason",Men,United States,07-Oct-90
"Fiodorow, Joanna",Women,Poland,04-Mar-89
"Flanagan, Shalane",Women,United States,08-Jul-81
"Flournoy, Jaron",Men,United States,24-Nov-96
"Fontanive, Petra",Women,Switzerland,10-Oct-88
"Forbes, Damar",Men,Jamaica,11-Sep-90
"Forte, Julian",Men,Jamaica,07-Jan-93
"Francis, Phyllis",Women,United States,04-May-92
"Franklin, Tori",Women,United States,07-Oct-92
"Frayne, Henry",Men,Australia,14-Apr-90
"Freeman, Joshua",Men,United States,22-Aug-94
"Freimuth, Rico",Men,Germany,14-Mar-88
"Frerichs, Courtney",Women,United States,18-Jan-93
"Frydrych, Petr",Men,Czech Republic,13-Jan-88
"Fujisawa, Isamu",Men,Japan,12-Oct-87
"Furlani, Erika",Women,Italy,02-Jan-96
"Futch, Eric",Men,United States,25-Apr-93
"Gakeme, Antoine",Men,Burundi,24-Dec-91
"Gale, Tom",Men,Great Britain & N.I.,18-Dec-98
"Gallett, Ismail Juma",Men,Tanzania,03-Aug-91
"Gambetta, Sara",Women,Germany,18-Feb-93
"Gao, Ni",Women,Pr Of China,14-May-90
"Gao, Xinglong",Men,Pr Of China,12-Mar-94
"Gao, Yang",Women,Pr Of China,01-Mar-93
"Garcia, Stephanie",Women,United States,03-May-88
"García, Kimberly",Women,Peru,19-Oct-93
"García, Samuel",Men,Spain,04-Dec-91
"García Carrera, Diego",Men,Spain,19-Jan-96
"García-Caro, Laura",Women,Spain,16-Apr-95
"Gardiner, Steven",Men,Bahamas,12-Sep-95
"Gardner, English",Women,United States,22-Apr-92
"Gatlin, Justin",Men,United States,10-Feb-82
"Gaye, Demish",Men,Jamaica,20-Jan-93
"Gayle, Steven",Men,Jamaica,19-Mar-94
"Gebrekidan, Hiwot",Women,Ethiopia,11-May-95
"Gebresilase, Leul",Men,Ethiopia,20-Sep-92
"Gebreslase, Gotytom",Women,Ethiopia,15-Jan-95
"Gebru, Azemra",Women,Ethiopia,05-May-92
"Gega, Luiza",Women,Albania,05-Nov-88
"George, Patience Okon",Women,Nigeria,25-Nov-91
"Gerashchenko, Iryna",Women,Ukraine,10-Mar-95
"Geremew, Mosinet",Men,Ethiopia,12-Feb-92
"Getahun, Betesfa",Men,Ethiopia,25-Sep-98
"Getent, Tigest",Women,Bahrain,07-Jul-97
"Gezahegn, Kelkile",Men,Ethiopia,1996
"Ghazal, Majd Eddin",Men,Syria,21-Apr-87
"Ghribi, Habiba",Women,Tunisia,09-Apr-84
"Gidey, Letesenbet",Women,Ethiopia,20-Mar-98
"Gierisch, Kristin",Women,Germany,20-Aug-90
"Giles, Elliot",Men,Great Britain & N.I.,26-May-94
"Gill, Jacko",Men,New Zealand,20-Dec-94
"Girma, Tesfaye",Men,Ethiopia,24-Jan-97
"Gisamoda, Emanuel Giniki",Men,Tanzania,18-May-88
"Givans, Senoj-Jay",Men,Jamaica,30-Dec-93
"Glavan, Igor",Men,Ukraine,25-Sep-90
"Gleadle, Elizabeth",Women,Canada,05-Dec-88
"Gobena, Amane",Women,Ethiopia,11-Sep-86
"Gochenour, Alex",Women,United States,17-Feb-93
"Golodna, Olga",Women,Ukraine,14-Nov-91
